,chebyshev,boosting,random,uniform,supervised_model
Signal1-freq:1.047994576406873,4.798316377817511e-05,0.0002234120978113499,6.261739468781562e-05,7.672263280830677e-05,5.04059281465547e-05
Signal2-freq:1.155660073698365,9.033395593153188e-05,0.000361683897987678,0.00011534125793537638,0.00011963162322863266,6.70045657889071e-05
Signal3-freq:1.2607158569182841,0.0001096395021371843,0.0004368254072350138,0.00015018539812551487,0.00015771964172078747,8.222565121931126e-05
Signal4-freq:1.3665547306008452,0.00016332836808206078,0.0005948187892954585,0.00017614536120677773,0.00018298150014051627,0.00010840636629082766
Signal5-freq:1.4878010645839082,0.00018323501059117287,0.0006158370099874027,0.00020926330936704666,0.0001724467308082921,8.780970641936102e-05
Signal6-freq:1.5819341927986803,0.00023699017906839696,0.000764741692238631,0.0002649164638751127,0.00019500312910571263,0.0001086658867618712
Signal7-freq:1.6881565998204326,0.00033207457095827173,0.0010216513109512484,0.0003700017231115738,0.0002823530725021984,0.00016651620682491864
Signal8-freq:1.7882222776348442,0.00039316133617076006,0.0011757390164202483,0.00042200006652744746,0.00030427868419688264,0.0002035915993915299
Signal9-freq:1.898316118896274,0.0004962061665073354,0.0014119423719094748,0.0005179175994115467,0.00036052192296410124,0.00022818401246569496
Signal10-freq:2.0067834365340222,0.0006135589899930001,0.0017353014679296372,0.0006343602171421888,0.00041613509672418,0.0002704136341371247
Signal11-freq:2.1045027741283073,0.0007212121955672714,0.0019502620263135886,0.0007319305266896978,0.0004981555312823914,0.0003346118709217891
Signal12-freq:2.222845519689904,0.00098758708382026,0.002723797898164354,0.0009650521945170071,0.0006815905436559044,0.0004047098998551163
Signal13-freq:2.319164896124868,0.001250988285182631,0.003326472721596555,0.0012633711606500598,0.000785208459624914,0.0004761682766954666
Signal14-freq:2.430246341937631,0.0011138354717724597,0.002895817151088399,0.0010628162835311019,0.0006857170269693508,0.0004084753415165774
Signal15-freq:2.52660816920098,0.0015461675242494338,0.0037364294807873764,0.0014331557518073787,0.0007710146103139945,0.000538842965795295
Signal16-freq:2.6437414124806344,0.0021234107155621933,0.0053150458118150215,0.0019979680363881296,0.0011240397232049563,0.0006735030071167779
Signal17-freq:2.756451872527738,0.0023830192174225003,0.005868270694404368,0.0022221050234556695,0.0011842451816844578,0.0007577193518307928
Signal18-freq:2.8491920174214105,0.0027132965790399805,0.006846487669908371,0.0025573838599613125,0.0014130967432185487,0.0008876690340562897
Signal19-freq:2.962187947029256,0.0032174490268028306,0.0065084985968254265,0.0028982280464193767,0.001507827289047121,0.0010519884392493364
